EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010709556,EAA CHAPTER 1361 INC,% TRACY RHODES,1130 HARVEY LN,RENO,NV,89509-3528,0000,03,3,1200,201608,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,M40,
010738489,PTA NEVADA CONGRESS,% TAMMIE IBACH,1155 E RICHMAR AVE,LAS VEGAS,NV,89123-3808,2044,03,9,2000,196910,1,16,059035000,5,01,201906,0,0,02,0,06,0,0,0,,ROGER GEHRING ELEMENTARY SCHOOL PTA
010761645,PRAYER CATHEDRAL INTERNATIONAL,% CARMEN RODGERS,4500 RED CIDER LN,LAS VEGAS,NV,89130-5152,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010766423,RENO HEAT GIRLS SOFTBALL ASSOCIATION,% CATHY SPENCER,3949 GLENVIEW TER,RENO,NV,89503-1858,0000,03,3,1000,200306,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,N63,
010774114,GOVERNMENT INVESTMENT OFFICERS ASSOCIATION,% RICHARD PHILLIPS,10655 PARK RUN DR,LAS VEGAS,NV,89144-4589,0000,03,3,2000,200603,1,15,000000000,1,01,201912,4,4,01,0,12,341439,314761,314761,W032,
010785223,AMERCIAN LEGION,% JERRY FINLEY,PO BOX 1689,FERNLEY,NV,89408-1689,0925,19,9,1000,194603,1,00,907908000,5,01,201912,0,0,02,0,12,0,0,0,,37 GERALD C DANIEL
010797648,AMATI FOUNDATION,% WILLIAM M TOWNSEND,8317 BROAD PEAK DR,LAS VEGAS,NV,89131-4308,0000,03,3,1000,200312,1,15,000000000,1,01,201712,5,0,02,0,12,884445,0,0,A68,
010815981,STILLWATER FIREARMS ASSOCIATION,% MS ELYNDA LONG,PO BOX 665,FALLON,NV,89407-0665,0000,07,3,1000,201310,2,00,000000000,1,01,201812,4,3,01,0,12,250461,59428,59428,N50,
010825154,GODS BLESSED HOUSE DELIVERANCE APOSTOLIC MINISTRIES,% STACY ELDER,2500 N RAINBOW BLVD APT 1040,LAS VEGAS,NV,89108-4541,0000,03,3,1000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010868265,COVENANT OF LOVE UUL CORP,% CHARLENE BYNUM,408 ELDORADO HILLS CT,LAS VEGAS,NV,89110-5646,0000,03,3,1000,200711,1,15,000000000,1,01,201812,1,4,01,0,12,2423,469366,469366,I40,COVENANT OF LOVE-TRANSITIONAL HOME
010881587,SIERRA NEVADA JOURNEYS,,190 E LIBERTY ST,RENO,NV,89501-2209,0000,03,3,2100,200703,1,15,000000000,1,01,201912,6,6,01,0,12,4191090,3623738,3599486,O50,
010884909,HIGH DESERT CHRISTIAN CENTER INC,% ROBERT BAGLEY,95 CHACON CT,SPARKS,NV,89441-6242,0000,03,3,7000,197802,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010886100,RCS ROTARY FOUNDATION INC,% LARIE TRIPPET,PO BOX 18241,RENO,NV,89511-0241,0000,03,3,1000,200907,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B82,
010886335,THE LAS VEGAS CHAPTER OF THE SOCIETY INC,,PO BOX 12183,LAS VEGAS,NV,89112-0183,0000,03,3,1000,201407,1,15,000000000,5,01,201812,0,0,02,0,12,0,0,0,A23,LAS VEGAS CHAPTER
010887922,ACTIVE VOLUNTEERS IN DOUGLAS,% LP BROOKS,1385 SAN DIEGO CT,MINDEN,NV,89423-7500,0000,03,3,1000,200707,1,15,000000000,5,01,201806,2,1,02,0,06,16497,2470,2470,T40,
010889772,MONTESSORI VISIONS ACADEMY PARENT TEACHER ORGANIZATION,% LORI BOSSY,3551 E SUNSET RD,LAS VEGAS,NV,89120-3203,0000,03,3,2000,200706,1,16,000000000,1,01,201806,0,0,02,0,06,0,0,0,B94,
010893313,YOUTH CAMP EDUCATION,% GERALD CRAWFORD SR,6782 HYLA ROMAN AVE,LAS VEGAS,NV,89131-2247,0000,03,3,1200,201304,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O50,
010893463,NORTHERN NEVADA REGIONAL ANIMAL CENTER,% DEBORAH LARSON,3624 COUNTY LINE RD,CARSON CITY,NV,89703-9522,0000,03,3,4000,200810,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,D20,
010901287,ALTERNATIVE & INTEGRATIVE THERAPY SUPPORT FOUNDATION,% PEGGY JO FULTON,2110 PINTO LN,LAS VEGAS,NV,89106-4809,0000,03,3,2000,200805,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,P50,
010901343,GIRLS ON THE RUN-SIERRAS,% JENNIFER BOSSIN,241 RIDGE STREET 120,RENO,NV,89501-2069,0000,03,3,2100,200807,1,15,000000000,1,01,201906,4,4,01,0,06,178849,252088,243365,O50,
010902760,PAHRUMP MASTER GARDENER SOCIETY,% PATRICIA CAMERON,1651 E CALVADA BLVD,PAHRUMP,NV,89048-5831,0000,03,3,2000,200912,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,C42,
010906890,CLARK COUNTY ARTISTS GUILD,% HEATHER WEINBURGER,7408 PETREL ST,N LAS VEGAS,NV,89084-3807,0000,03,3,2100,200907,1,15,000000000,1,01,201906,0,0,02,0,06,0,0,0,A26,
010908452,NEVADA AND CALIFORNIA INTERSTATE MISSIONARY BAPTIST CONVENTION,% SAM ROBERSON,245 E FOSTER AVE,HENDERSON,NV,89011-4262,0000,03,3,7000,201910,1,15,000000000,1,01,,0,0,02,0,12,,,,X99,
010911799,CLASSICAL MUSIC EDUCATION FOUNDATION,% LEILANI BRADFORD,1003 PARADISE VIEW ST,HENDERSON,NV,89052-3937,0000,03,3,1200,201407,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,A99,
010913692,FILIPINO AMERICAN HERITAGE FOUNDATION-NEVADA,% DR ROMUALDO ARAGON JR,1641 E FLAMINGO RD STE 11,LAS VEGAS,NV,89119-5257,0000,03,3,1200,201105,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A23,
010916711,TOPS CLUB INC,% DIANE GRAY,2851 S VALLEY VIEW BLVD UNIT 1041,LAS VEGAS,NV,89102-0139,5501,03,9,1200,200809,1,16,000000000,5,01,202003,0,0,02,0,03,0,0,0,,098 LAS VEGAS TOPS NV
010937092,BAHAIS OF WINCHESTER,% MRS SHAHNAZ ROWHANI,PO BOX 72963,LAS VEGAS,NV,89170-2963,9508,03,9,7000,199505,1,10,001000000,1,01,,0,0,06,0,12,,,,,5064 WINCHESTER
010944615,URBAN ROOTS GARDEN CLASSROOMS,,3001 W 4TH ST APT 12,RENO,NV,89523-8844,0000,03,3,1000,201008,1,15,000000000,1,01,201812,4,4,01,0,12,105590,472316,472316,B90,URBAN ROOTS
010951351,DIVINE LIGHT SPIRITUAL CENTER FOR EMPOWERED LIVING,% ALVERNA AUSTIN,9004 ROCKVILLE AVE,LAS VEGAS,NV,89143-2304,0000,03,3,1000,201704,1,16,000000000,1,01,,0,0,02,0,12,,,,P20,
010970789,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% MELISSA BROWN,PO BOX 151664,ELY,NV,89315-1208,0239,04,9,3000,194012,2,00,911520000,5,01,201912,0,0,02,0,12,0,0,0,S80,2754 ELY
016182253,LOUIS PLANSEON FDN CO-TTEE 2519898592,,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,200209,1,04,000000000,2,01,201812,6,5,00,1,12,4382297,706878,,T20,
016182388,MARJORIE E WILSON TR,% WACHOVIA BANK NATIONAL ASSOCIATIO,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,200807,1,04,000000000,2,01,201812,4,3,00,1,12,100298,35614,,T22,
016190683,ALICE E AND JOSEPH C BLEWETT FOUNDATION TR,% WELLS FARGO BANK TEXAS NA,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,200205,1,04,000000000,2,01,201812,6,4,00,1,12,1382575,475896,,T20,
020533898,COUPLES FOR CHRIST FFL-NEVADA,% ZACARIAS CORELLA,7299 PINE BARRENS ST,LAS VEGAS,NV,89148-3888,0000,03,3,2000,201108,1,16,000000000,1,01,201812,1,2,02,0,12,9206,13584,13584,X21,
020565090,OPERATION WARMHEART INC,% RONALD KILL,PO BOX 9882,NELLIS AFB,NV,89191-0882,0000,03,3,1000,201005,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P60,
020610655,HEALTHY COMMUNITIES COALITION OF LYON AND STOREY COUNTIES,% CHRISTINE MCGILL,PO BOX 517,DAYTON,NV,89403-0517,0000,03,3,1000,200210,1,15,000000000,1,01,201812,5,6,01,0,12,882501,2413108,2406397,P20,
020625125,VIRGIN VALLEY THEATRE GROUP,% KATHY BUSSMAN,PO BOX 146,MESQUITE,NV,89024-0146,0000,03,3,1000,200210,1,15,000000000,1,01,201906,3,3,01,0,06,30183,91158,91158,A65,
020695289,CLIPPED WINGS UNITED AIRLINES STEWARDESS ALUMNAE INC,% PAT LANGHART,5512 JASPER BUTTE ST,LAS VEGAS,NV,89130-3714,1580,03,9,1000,200201,1,16,000000000,2,01,201809,0,0,02,0,09,0,0,0,N117,LAS VEGAS CHAPTER
020705460,FRONTIER COMMUNITY COALITION,% LOUIE PERALDO,PO BOX 1460,LOVELOCK,NV,89419-1460,0000,03,3,1000,200401,1,15,000000000,1,01,201806,3,5,01,0,06,78445,840073,836971,E99,
020729067,GO SOUNDS PAA INC,,3201 S RAINBOW AVE,PAHRUMP,NV,89048-6421,0000,03,3,1000,201410,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,A60,
020730599,GRACE TABERNACLE CHURCH OF GOD IN CHRIST,% TIFFANY YOUNG,1286 COMMERCE ST,SPARKS,NV,89431-0942,0000,03,3,7000,200502,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020768254,NEVADA ASSOCIATION OF SCHOOL PSYCHOLOGISTS,% PATRICIA HOGE,3626 PECOS-MCLEOD,LAS VEGAS,NV,89121-3898,0000,06,3,2000,201905,2,00,000000000,5,01,,0,0,02,0,06,,,,S41,
020778773,LOHAN SPIRITUAL AND CULTURAL CENTER,% HUAMAN MAURA,3850 SCHIFF DR,LAS VEGAS,NV,89103-1813,0000,03,3,7000,200911,1,10,000000000,1,01,,0,0,06,0,12,,,,X50,
020785597,SAFE HAVEN WILDLIFE SANCTUARY,% LYNDA M SUGASA,PO BOX 184,IMLAY,NV,89418-0184,0000,03,3,4000,200611,1,15,000000000,1,01,201812,5,5,01,0,12,672800,502668,464404,D20,
020807885,NOVA FOUNDATION INC,% MICHELE COLONICA,316 CALIFORNIA AVENUE SUITE 448,RENO,NV,89509-1650,0000,03,3,1000,200706,1,04,000000000,1,01,201906,4,2,00,1,06,258862,22045,,T22,
030397168,FERNLEY SHARKS SWIMMING ASSOCIATION,% JESSICA STANGER,PO BOX 274,FERNLEY,NV,89408-0274,0000,03,3,1000,201402,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B82,
030427848,AMERICAN SEWING GUILD INC,% JULIE HILSABECK,7725 HUGHES DR,RENO,NV,89506-8642,3534,03,9,2000,000000,1,15,281995000,5,01,,0,0,01,0,12,,,,,NORTHERN NEVADA CHAPTER
030462980,WOMEN IN FILM LAS VEGAS,% PHYLLIS CESARE-TAIE,9525 CHIANTI LN,LAS VEGAS,NV,89117-3692,0000,03,3,1000,200210,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A31,
030483805,NEW MERCY FAITH MINISTRY,% HENRY CROCKETT,5824 WHISPER BLUFF,NORTH LAS VEGAS,NV,89031-0000,0000,03,3,7000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
030501461,VIRGIN VALLEY ARTISTS ASSOCIATION,% KATHLEEN BIRKHOLZ,15 W MESQUITE BLVD,MESQUITE,NV,89027-4754,0000,03,3,2000,200312,1,16,000000000,1,01,201906,4,4,01,0,06,222142,140275,130880,A51,
030502432,PEACEMAKERS INC,% RONALD DENNIS,3050 VAN LN,PAHRUMP,NV,89048-5266,0000,03,3,1000,200308,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,I126,
030532478,COMMUNITY PARTNERSHIP SEEKING SOLUTIONS OF FERNLEY,% KELLY MALLOY,PO BOX 2314,FERNLEY,NV,89408-2314,0000,03,3,1200,200504,1,15,000000000,1,01,201906,0,0,02,0,06,0,0,0,P30,
030533503,AUSTINS HOUSE,,PO BOX 784,MINDEN,NV,89423-0784,0000,03,3,1000,200402,1,15,000000000,1,01,201812,6,3,01,0,12,1107114,55854,50089,P30,
030536245,SHEKINAH GLORY MINISTRIES,% 0ARTHUR C DAVIS,2451 EAGLE HARBOR DR,HENDERSON,NV,89052-7135,0000,03,3,7000,200609,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
030598236,TRADITIONAL AMERICAN MUSIC PROJECT INC,% CINDY GRAY,21305 HIGHLAND RD,RENO,NV,89521-6916,0000,03,3,1000,200803,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,A68,
030600291,SOUTHERN NEVADA CONFERENCE OF POLICE AND SHERIFFS,,9330 W LAKE MEAD BLVD STE 120,LAS VEGAS,NV,89134-8344,0000,05,3,1000,200702,0,00,000000000,1,01,201906,0,0,02,0,06,0,0,0,S40,NEVADA CONF OF POLICE AND SHERIFFS
043180012,JAMES M LANGILLE SCHOLORSHIP FUND,% EILEEN LANGILLE,5156 CANTINA LN,N LAS VEGAS,NV,89031-3305,0000,03,3,1000,199812,1,16,994040000,1,01,201712,0,0,02,0,12,0,0,0,B82,
043589737,GREATER FAITH BAPTIST CHURCH,% RENARD JONES SR,2736 CHAMBERLAIN LN,N LAS VEGAS,NV,89032-3623,0000,03,3,7000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
043591728,AMERICAN IRIS SOCIETY,% DAN DOURNEY,140 ANDALUCIA CT,SPARKS,NV,89441-8854,3686,03,9,2000,200102,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,K20,HIGH DESERT IRIS & DAYLILY SOCIETY
043601067,TRIED STONE MISSIONARY BAPTIST CHURCH,% JACQUELYN MURPHY,621 W CAREY AVE,N LAS VEGAS,NV,89030-3877,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
043616888,WILD HORSE PRESERVATION LEAGUE,% H BONNIE MATTON,PO BOX 1958,DAYTON,NV,89403-1958,0000,03,3,1000,200401,1,15,000000000,1,01,201910,0,0,02,0,10,0,0,0,D30,
043622090,NATIONAL RURAL LETTER CARRIERS ASSOCIATION,% JOAN REYNOLDS,1110 E CRYSTAL CANYON CT,RENO,NV,89508-6816,2377,05,9,3000,197211,2,00,263000000,5,01,201906,3,3,01,0,06,80301,71684,71684,,NEVADA RLCA
043627170,OASIS COMMUNITY CHURCH,% KELLYELANG,1520 S MAINE ST,FALLON,NV,89406-7800,2284,03,9,7000,197205,1,10,001000000,5,01,,0,0,06,0,12,,,,,
043677039,THAI CHRISTIAN MISSIONARY CHURCH,% RAHTREE HARMS,3928 BUCHNER LN,N LAS VEGAS,NV,89032-0413,0000,03,3,7100,200306,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,X21,
043702435,A LIFT UP ORG,% FRANK PETRASEK,1603 ALANS PL,ELKO,NV,89801-7971,0000,03,3,1000,200304,1,15,000000000,1,01,201612,1,4,01,0,03,2142,102877,83960,P60,
043782270,INTERNATIONAL REMOTE VIEWING ASSOCIATION,% CHERYLE HOPTON,1805 N CARSON ST,CARSON CITY,NV,89701-1216,0000,03,3,2000,200603,1,15,000000000,1,01,201812,2,3,02,0,12,15150,30283,30283,A03,
043793663,JUMPSTART COALITION FOR PERSONAL FINANCIAL LITERACY,% NANCY SEXTON,11920 SOUTHERN HIGHLANDS PKWY 101,LAS VEGAS,NV,89141-3273,3712,03,9,2000,200102,1,15,994000000,1,01,201912,0,0,02,0,12,0,0,0,B90,NEVADA JUMPSTART COALITION
043806789,ST MATTHEW BAPTIST CHURCH,% JAMES H MCCRAY,PO BOX 53058,HENDERSON,NV,89053-0000,0000,03,3,7000,200507,1,10,000000000,1,01,,0,0,06,0,06,,,,V20,
043815840,BELIEVERS IN CHRIST TABERNACLE,% LEDONNA TAPPLIN,730 W CHEYENNE BVLD SUITE 50,NORTH LAS VEGAS,NV,89030-0000,0000,03,3,1000,200709,1,15,000000000,1,01,201912,1,4,01,0,12,8451,266652,266652,X21,BACK 2 BASIC GLOBAL OUTREACH MINIST
043834305,UNITED STATES BOWLING CONGRESS INC,% CINDY HITCHCOCK,94 TUCKER LN,YERINGTON,NV,89447-2818,4348,03,9,1000,200409,1,16,000000000,1,01,201907,0,0,02,0,07,0,0,0,N70,81045 LYON COUNTY USBC
046313409,RUTH C SNOW REINFORD TRUST,% PNC BANK NEW ENGLAND,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,197611,0,04,000000000,1,01,201912,4,4,00,1,12,350053,225573,,,
046751073,ESTHER KNAUB CHARITABLE TR 20544-01,% MASSACHUSETTS CO INC TTEE,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,199803,1,04,040000000,2,01,201912,4,4,00,1,12,243182,164467,,T30Z,
046971851,RITTER CHARITABLE TR,,1980 FESTIVAL PLAZA DR STE 300,LAS VEGAS,NV,89135-2930,0000,03,3,1000,200401,1,17,000000000,2,01,201912,5,1,02,0,12,781857,77,77,T11,RITTER JOHN TTEE
050538007,SIERRA JUNIOR TENNIS ASSOCIATION,% DEBORAH ALARCON,RO BOX 6928,RENO,NV,89513-0000,0000,03,3,1200,200401,1,16,000000000,1,01,201812,0,0,02,0,12,0,0,0,N66,
050554338,ROLLAN MELTON PARENT FACULTY ASSOCIATION,,6575 ARCHIMEDES LN,RENO,NV,89523-6211,0000,03,3,1000,200403,1,15,000000000,5,01,201808,0,0,02,0,08,0,0,0,B94,
050573828,LAS VEGAS MENS CHORUS,% DAVID POHL,8042 COUNTERPOINT LN,LAS VEGAS,NV,89123-0416,0000,03,3,2000,201502,1,16,000000000,1,01,201906,0,0,02,0,06,0,0,0,A6B,
050587246,DOG TOWN,% LORAYN WALSER,PO BOX 2978,CARSON CITY,NV,89702-2978,0000,03,3,1000,200406,1,15,000000000,1,01,201812,3,3,01,0,12,67594,62091,62091,D20,
050611127,DESERT NEWCOMERS INC,% MIRIAM LEVENBERG TREASURER,175 CARLSBAD CAVERNS ST,HENDERSON,NV,89012-5804,0000,07,3,1000,200507,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,N50,
050615187,SILVER SPRINGS AREA CHAMBER OF COMMERCE,% MARIANNE SCHAEFER,PO BOX 617,SILVER SPGS,NV,89429-0617,0000,06,3,1000,201109,2,00,000000000,1,01,201812,0,0,02,0,12,0,0,0,S41,
050619785,IGLESIA EVANGELICA NUEVA JERUSALEN DE LAS ASAMBLEAS DE DIOS,,2727 CIVIC CENTER DR,N LAS VEGAS,NV,89030-5468,0000,03,3,7000,200605,1,10,000000000,1,01,,5,0,06,0,12,,,,X21,
050634823,NEW BEGINNINGS CHURCH,,420 HARRISON AVE,LAS VEGAS,NV,89106-3015,0000,03,3,7100,201407,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
056066742,HENRY J ROBITAILLE TR UA 09191979,% WELLS FARGO BANK NA TTEE,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,92,0,1000,000000,0,00,000000000,0,12,201812,6,5,00,1,12,2856088,510102,,,
056140981,MARTHA A HAWKINS CHARITABLE TR,% WELLS FARGO BANK,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1000,200404,1,04,000000000,1,01,201812,6,5,00,1,12,2468880,638492,,T22,
060769931,JOHN SLADE ELY FUND,% WACHOVIA BANK NA,6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,89118-3278,0000,03,3,1200,196204,1,04,065207119,2,01,201903,5,4,00,1,03,846615,312268,,,
061063836,LEND-A-HAND IND,,955 KUENZLI ST,RENO,NV,89502-1160,9102,03,9,1000,197910,1,16,429000000,5,01,,0,0,01,0,12,,,,,RENO GAZETTE-JOURNAL FOUNDATION INC
061309948,THIS CLOSE FOR CANCER RESEARCH,% JULIE BRANDER NEIMAN,1286 DOVE TREE CT,HENDERSON,NV,89014-7828,0000,03,3,1000,201605,1,15,927602000,1,01,201906,0,0,02,0,06,0,0,0,H30,
061358826,ILLUMINATING ENGINEERING SOCIETY,% JOHN JAVID BUTLER,1416 WHEATLAND WAY,LAS VEGAS,NV,89128-3427,9246,03,9,2800,199102,0,16,000000000,1,01,,0,0,01,0,06,,,,,LAS VEGAS SECTN OSRAM SYLVANIA INC
061529842,THE CARINE & JACQUES DUBOIS FAMILY FOUNDATION,% JACQUES DUBOIS,55 QUINTESSA CIR,LAS VEGAS,NV,89141-6054,0000,03,3,1000,199902,1,04,000000000,1,01,201906,7,6,00,1,06,5013449,1882658,,T20,
061651977,DISCOVERY CENTER,% LAWRENCE ELLINGTON,4416 DESERT PARK AVE,N LAS VEGAS,NV,89085-2322,0000,03,3,1200,201712,1,16,000000000,1,01,201712,0,0,02,0,12,0,0,0,P20,
061685487,CRYSTAL BAY YACHT CLUB INC,% GUY A FORTIER,PO BOX 5287,INCLINE VLG,NV,89450-5287,0000,07,3,1000,200702,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,N50,
061710712,CHILDRENS HOPE FOR THE FUTURE INC,% JEANNE FREASIER,122 N CURRY ST,CARSON CITY,NV,89703-4934,0000,03,3,2000,200312,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B80,
061723192,PLENTIFUL HARVEST MINISTRIES,% TOMMY PATTERSON,456 COMSTOCK ST,PAHRUMP,NV,89048-6142,0000,03,3,1000,200611,1,15,000000000,1,01,201812,4,1,02,0,12,105556,2485,2485,,
061729901,SILVER STRIKERS CLUB,% JACK HADDOCK,550 N MCCARRAN BLVD,SPARKS,NV,89431-5278,0000,07,3,1000,200410,2,00,000000000,1,01,201812,2,2,02,0,12,20918,10037,10037,N50,
061731587,MINISTERIO INTL ADONAI,% ESTUARDO ESCOBAR,2625 ISLAND BROOK DR,LAS VEGAS,NV,89108-4484,1678,03,9,7000,196408,2,10,001002029,5,01,201612,2,4,06,0,12,22942,108257,108257,X20,
061755800,ORCHESTRA AND COMMUNITY CHORAL ARTISTS OF THE TAHOE AREA INC,% PARASOL FOUNDATION,586 DOUGLAS CT,INCLINE VLG,NV,89451-8529,0000,03,3,1000,200605,1,15,000000000,1,01,201812,4,4,01,0,12,191594,335889,335889,A69,TOCCATA THE
061756968,KIWANIS INTERNATIONAL INC,% MATTHEW SATENSTEIN,7921 MILLHOPPER AVE,LAS VEGAS,NV,89128-6706,0026,04,9,1300,194007,2,00,040042000,5,01,201909,0,0,02,0,09,0,0,0,,K17198 NORTH LAS VEGAS
061762388,PRIMARY GROUP,% DEBRA L POPE,10300 W CHARLESTON BLVD,LAS VEGAS,NV,89135-1037,0000,03,3,1000,200908,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,I44,BREAKING BARRIERS NETWORK
061782412,TAPPING TEACHERS DANCE COMPANY,% JEAN HENNINGER,3583 MIDDLEBURY AVE,LAS VEGAS,NV,89121-3524,0000,03,3,1000,200608,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A62,
061787263,ENCOUNTER CHURCH,% NATHAN DUPREE,PO BOX 14100,RENO,NV,89507-4100,0000,03,3,7000,200808,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
061797802,NEVADA SOCIETY OF HEALTH SYSTEMS PHARMACISTS,% RAGINI BHAKTA TREASURER,PO BOX 27371,LAS VEGAS,NV,89126-1371,0000,06,3,2000,200708,2,00,000000000,1,01,201812,0,0,02,0,12,0,0,0,S41,
061805203,BLACK ROCK INSTITUTE,% CANDACE WHEELER,PO BOX 14430,RENO,NV,89507-4430,0000,03,3,1200,200905,1,15,000000000,1,01,201812,3,1,02,0,12,93041,3331,-6876,A33,
